video_id,dataset_name,source_type,dataset_version,pipeline_version,original_path,processed_path,video_path_mode,validation_status,processing_status,preprocessing_status,type,accident_time,accident_frame,center_x,center_y,x1,y1,x2,y2,weather,no_frames,duration,height,width,fps,file_size_bytes,file_hash,annotation_available,split,split_in_distribution,split_geo_aware,rollover,region,scene_layout,day_time,quality,annotations_path,map,camera_position,annotations_start_offset,is_duplicate,duplicate_group_id,processed_at,media_type,metadata_source,weather_confidence,day_time_confidence,channels,codec,generated_at
,tudat,real,2.0,,Negative_Videos/v1.mov,,,,,,non-accident,,,,,,,,,,928.0,15.65,1358,2386,59.2971,40011739,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0713,0.2425,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v11.mov,,,,,,non-accident,,,,,,,,,rain,263.0,4.75,1352,2392,55.3684,16541866,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.447,0.286,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v13.mov,,,,,,non-accident,,,,,,,,,,260.0,4.4833,1352,2392,57.9926,30818171,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.3049,0.2604,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v14.mov,,,,,,non-accident,,,,,,,,,,243.0,4.3167,1352,2392,56.2934,34981313,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.3134,0.3219,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v19.mov,,,,,,non-accident,,,,,,,,,,101.0,2.15,1352,2392,46.9767,8694112,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.1534,0.2182,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v2.mov,,,,,,non-accident,,,,,,,,,rain,174.0,3.1167,1336,2524,55.8289,6135654,,,,train,,,,,day,,,,,,False,,,video,folder_structure,0.5214,0.414,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v20.mov,,,,,,non-accident,,,,,,,,,,297.0,5.4,1330,2390,55.0,17931944,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.034,0.2605,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v21.mov,,,,,,non-accident,,,,,,,,,,655.0,11.0167,1330,2390,59.4554,24223465,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.271,0.2629,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v23.mov,,,,,,non-accident,,,,,,,,,,253.0,4.4167,1330,2390,57.283,12653577,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.1308,0.2359,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v24.mov,,,,,,non-accident,,,,,,,,,,175.0,3.0833,1330,2390,56.7568,9099702,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0268,0.2657,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v26.mov,,,,,,non-accident,,,,,,,,,,347.0,6.0833,1330,2390,57.0411,20241481,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0744,0.2119,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v27.mov,,,,,,non-accident,,,,,,,,,,240.0,4.4167,1330,2390,54.3396,13801491,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0418,0.2509,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v29.mov,,,,,,non-accident,,,,,,,,,,369.0,6.4833,1240,2370,56.9152,6585153,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.3267,0.3176,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v3.mov,,,,,,non-accident,,,,,,,,,,317.0,5.2833,1336,2524,60.0,13712534,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.3592,0.2616,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v30.mov,,,,,,non-accident,,,,,,,,,,1074.0,18.2833,1240,2370,58.742,23727578,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0049,0.2526,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v31.mov,,,,,,non-accident,,,,,,,,,,73.0,1.6167,1240,2370,45.1546,3607058,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0313,0.3241,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v34.mov,,,,,,non-accident,,,,,,,,,rain,97.0,1.65,1246,1786,58.7879,3518538,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.4906,0.2705,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v36.mov,,,,,,non-accident,,,,,,,,,,164.0,2.95,1236,2362,55.5932,3481490,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.1211,0.3635,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v37.mov,,,,,,non-accident,,,,,,,,,,163.0,3.0,1230,2366,54.3333,4414948,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0646,0.383,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v38.mov,,,,,,non-accident,,,,,,,,,,174.0,3.2,1234,2368,54.375,4983326,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.3142,0.3795,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v39.mov,,,,,,non-accident,,,,,,,,,rain,134.0,2.35,1234,2368,57.0213,5169713,,,,train,,,,,day,,,,,,False,,,video,folder_structure,0.6139,0.4582,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v4.mov,,,,,,non-accident,,,,,,,,,rain,91.0,1.5167,1332,2386,60.0,5046269,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.4286,0.236,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v40.mov,,,,,,non-accident,,,,,,,,,,191.0,3.3667,1242,2382,56.7327,5502169,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0756,0.2615,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v43.mov,,,,,,non-accident,,,,,,,,,,305.0,5.35,1330,2390,57.0093,22712546,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.2922,0.381,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v44.mov,,,,,,non-accident,,,,,,,,,,125.0,2.3833,1240,2370,52.4476,4292505,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0154,0.068,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v46.mov,,,,,,non-accident,,,,,,,,,rain,205.0,3.8833,1240,2370,52.7897,6542017,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.5604,0.23,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v47.mov,,,,,,non-accident,,,,,,,,,rain,228.0,4.0167,1246,1786,56.7635,6945293,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.5981,0.243,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v48.mov,,,,,,non-accident,,,,,,,,,rain,173.0,3.0667,1234,2354,56.413,2168661,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.4313,0.2518,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v49.mov,,,,,,non-accident,,,,,,,,,,248.0,4.55,1330,2390,54.5055,22820565,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0327,0.3796,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v5.mov,,,,,,non-accident,,,,,,,,,,186.0,3.25,1332,2386,57.2308,12188670,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.1211,0.165,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v50.mov,,,,,,non-accident,,,,,,,,,,403.0,6.95,1330,2390,57.9856,24863486,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.0101,0.2799,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v51.mov,,,,,,non-accident,,,,,,,,,rain,248.0,4.2833,1332,2386,57.8988,24496308,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.523,0.2729,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v6.mov,,,,,,non-accident,,,,,,,,,,158.0,2.7833,1332,2386,56.7665,10823112,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.2399,0.2436,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Negative_Videos/v8.mov,,,,,,non-accident,,,,,,,,,rain,138.0,2.45,1332,2386,56.3265,8846414,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.4863,0.1362,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Positive_Vidoes/v10.mov,,,,,,accident,,,,,,,,,,732.0,12.6,1352,2392,58.0952,41977621,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.2961,0.2296,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Positive_Vidoes/v11.mov,,,,,,accident,,,,,,,,,rain,929.0,15.85,1352,2392,58.612,45825287,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.5269,0.3063,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Positive_Vidoes/v15.mov,,,,,,accident,,,,,,,,,,799.0,13.5,1352,2392,59.1852,57540250,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.1256,0.2478,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Positive_Vidoes/v16.mov,,,,,,accident,,,,,,,,,,1070.0,18.15,1352,2392,58.9532,66801361,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.02,0.3305,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Positive_Vidoes/v18.mov,,,,,,accident,,,,,,,,,rain,398.0,6.75,1352,2392,58.963,15735160,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.4122,0.271,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Positive_Vidoes/v19.mov,,,,,,accident,,,,,,,,,,249.0,4.6167,1352,2392,53.935,17241639,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.1535,0.2168,,h264,2026-07-23T17:18:22.295474+00:00
,tudat,real,2.0,,Positive_Vidoes/v21.mov,,,,,,accident,,,,,,,,,,1047.0,17.55,1330,2390,59.6581,45039523,,,,train,,,,,,,,,,,False,,,video,folder_structure,0.3049,0.302,,h264,2026-07-23T17:18:22.295474+00:00
