video_id,source_video_id,binary_label,clip_role,processed_path,split_in_distribution
picek_pos_0J5lP1YbTHc_00,0J5lP1YbTHc,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/0J5lP1YbTHc_00.mp4,test
picek_neg_0J5lP1YbTHc_00,0J5lP1YbTHc,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/0J5lP1YbTHc_00.mp4,test
picek_pos_0PrAtifCwjg_00,0PrAtifCwjg,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/0PrAtifCwjg_00.mp4,test
picek_neg_0PrAtifCwjg_00,0PrAtifCwjg,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/0PrAtifCwjg_00.mp4,test
picek_pos_0jk4tWwDKqc_00,0jk4tWwDKqc,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/0jk4tWwDKqc_00.mp4,test
picek_neg_0jk4tWwDKqc_00,0jk4tWwDKqc,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/0jk4tWwDKqc_00.mp4,test
picek_pos_0jlyeLcFLVc_00,0jlyeLcFLVc,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/0jlyeLcFLVc_00.mp4,test
picek_neg_0jlyeLcFLVc_00,0jlyeLcFLVc,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/0jlyeLcFLVc_00.mp4,test
picek_pos_0puo8kJOlmU_00,0puo8kJOlmU,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/0puo8kJOlmU_00.mp4,test
picek_neg_0puo8kJOlmU_00,0puo8kJOlmU,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/0puo8kJOlmU_00.mp4,test
picek_pos_17u3l3wxfFI_00,17u3l3wxfFI,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/17u3l3wxfFI_00.mp4,test
picek_neg_17u3l3wxfFI_00,17u3l3wxfFI,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/17u3l3wxfFI_00.mp4,test
picek_pos_1KGjac-XgPM_00,1KGjac-XgPM,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/1KGjac-XgPM_00.mp4,test
picek_neg_1KGjac-XgPM_00,1KGjac-XgPM,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/1KGjac-XgPM_00.mp4,test
picek_pos_1koo-2ZTC9U_00,1koo-2ZTC9U,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/1koo-2ZTC9U_00.mp4,test
picek_neg_1koo-2ZTC9U_00,1koo-2ZTC9U,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/1koo-2ZTC9U_00.mp4,test
picek_pos_1lD9kE-VJ7I_00,1lD9kE-VJ7I,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/1lD9kE-VJ7I_00.mp4,test
picek_neg_1lD9kE-VJ7I_00,1lD9kE-VJ7I,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/1lD9kE-VJ7I_00.mp4,test
picek_pos_1ot_Dyi6XyI_00,1ot_Dyi6XyI,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/1ot_Dyi6XyI_00.mp4,test
picek_neg_1ot_Dyi6XyI_00,1ot_Dyi6XyI,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/1ot_Dyi6XyI_00.mp4,test
picek_pos_1yedrznGA8g_00,1yedrznGA8g,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/1yedrznGA8g_00.mp4,test
picek_neg_1yedrznGA8g_00,1yedrznGA8g,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/1yedrznGA8g_00.mp4,test
picek_pos_24IyPsinbH8_00,24IyPsinbH8,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/24IyPsinbH8_00.mp4,test
picek_neg_24IyPsinbH8_00,24IyPsinbH8,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/24IyPsinbH8_00.mp4,test
picek_pos_2PtXKoTbv0c_00,2PtXKoTbv0c,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/2PtXKoTbv0c_00.mp4,test
picek_neg_2PtXKoTbv0c_00,2PtXKoTbv0c,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/2PtXKoTbv0c_00.mp4,test
picek_pos_2aYst3H2hjo_00,2aYst3H2hjo,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/2aYst3H2hjo_00.mp4,test
picek_neg_2aYst3H2hjo_00,2aYst3H2hjo,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/2aYst3H2hjo_00.mp4,test
picek_pos_2dgMA7afLFc_00,2dgMA7afLFc,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/2dgMA7afLFc_00.mp4,test
picek_neg_2dgMA7afLFc_00,2dgMA7afLFc,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/2dgMA7afLFc_00.mp4,test
picek_pos_39Ac-6i9SVM_00,39Ac-6i9SVM,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/39Ac-6i9SVM_00.mp4,test
picek_neg_39Ac-6i9SVM_00,39Ac-6i9SVM,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/39Ac-6i9SVM_00.mp4,test
picek_pos_3Gc1wi2Qp4g_00,3Gc1wi2Qp4g,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/3Gc1wi2Qp4g_00.mp4,test
picek_neg_3Gc1wi2Qp4g_00,3Gc1wi2Qp4g,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/3Gc1wi2Qp4g_00.mp4,test
picek_pos_3rBm5RyfhOw_00,3rBm5RyfhOw,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/3rBm5RyfhOw_00.mp4,test
picek_neg_3rBm5RyfhOw_00,3rBm5RyfhOw,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/3rBm5RyfhOw_00.mp4,test
picek_pos_4uRL85n-kDw_00,4uRL85n-kDw,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/4uRL85n-kDw_00.mp4,test
picek_neg_4uRL85n-kDw_00,4uRL85n-kDw,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/4uRL85n-kDw_00.mp4,test
picek_pos_50uYv-SxT-o_00,50uYv-SxT-o,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/50uYv-SxT-o_00.mp4,test
picek_neg_50uYv-SxT-o_00,50uYv-SxT-o,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/50uYv-SxT-o_00.mp4,test
picek_pos_5K9ZZNwt9Fw_00,5K9ZZNwt9Fw,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/5K9ZZNwt9Fw_00.mp4,test
picek_neg_5K9ZZNwt9Fw_00,5K9ZZNwt9Fw,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/5K9ZZNwt9Fw_00.mp4,test
picek_pos_5TdEe3ikbEM_00,5TdEe3ikbEM,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/5TdEe3ikbEM_00.mp4,test
picek_neg_5TdEe3ikbEM_00,5TdEe3ikbEM,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/5TdEe3ikbEM_00.mp4,test
picek_pos_5UK0XveIgBA_00,5UK0XveIgBA,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/5UK0XveIgBA_00.mp4,test
picek_neg_5UK0XveIgBA_00,5UK0XveIgBA,0,negative_pre_accident,Datasets/processed/picek_sorted/trimmed/negative/real/5UK0XveIgBA_00.mp4,test
picek_pos_5caUHPE480M_00,5caUHPE480M,1,positive_accident,Datasets/processed/picek_sorted/trimmed/positive/real/5caUHPE480M_00.mp4,test
